Team,Abbreviation,Twitter Account,Game Hashtag
Anaheim Ducks,ANA,@AnaheimDucks,#NHLDucks
Arizona Coyotes,ARI,@ArizonaCoyotes,#Coyotes
Boston Bruins,BOS,@NHLBruins,#NHLBruins
Buffalo Sabres,BUF,@BuffaloSabres,#Sabres
Calgary Flames,CGY,@NHLFlames,#Flames
Carolina Hurricanes,CAR,@NHLCanes,#Canes
Chicago Blackhawks,CHI,@NHLBlackhawks,#Blackhawks
Colorado Avalanche,COL,@Avalanche,#Avs
Columbus Blue Jackets,CBJ,@BlueJacketsNHL,#CBJ
Dallas Stars,DAL,@DallasStars,#Stars
Detroit Red Wings,DET,@DetroitRedWings,#RedWings
Edmonton Oilers,EDM,@EdmontonOilers,#Oilers
Florida Panthers,FLA,@FlaPanthers,#FlaPanthers
Los Angeles Kings,LAK,@LAKings,#LAKings
Minnesota Wild,MIN,@mnwild,#mnwild
Montreal Canadiens,MTL,@CanadiensMTL,#Habs
Nashville Predators,NSH,@PredsNHL,#Preds
New Jersey Devils,NJD,@NHLDevils,#NJDevils
New York Islanders,NYI,@NYIslanders,#Isles
New York Rangers,NYR,@NYRangers,#NYR
Ottawa Senators,OTT,@Senators,#Sens
Philadelphia Flyers,PHI,@NHLFlyers,#Flyers
Pittsburgh Penguins,PIT,@penguins,#Pens
San Jose Sharks,SJS,@SanJoseSharks,#SJSharks
St. Louis Blues,STL,@StLouisBlues,#stlblues
Tampa Bay Lightning,TBL,@TBLightning,#TBLightning
Toronto Maple Leafs,TOR,@MapleLeafs,#Leafs
Vancouver Canucks,VAN,@VanCanucks,#Canucks
Washington Capitals,WSH,@washcaps,#Caps
Winnipeg Jets,WPG,@NHLJets,#NHLJets
